canonical_description,short_text,lines,purchase_orders,spend,spend_share,cumulative_spend_share,abc_class
small bon shape box,Small Bon Shape Box,2,2,140000.0,5.8341046811677245e-06,0.9960166746590678,C
vnxe1600 200gb ssd 25x2 5 u g,VNXE1600 200GB SSD 25X2.5 U/G,1,1,139800.0,5.825770245908913e-06,0.9960225004293137,C
pure pet 3ply corrugated box 1kg x 12jar,Pure Pet 3Ply Corrugated Box-1kg x 12Jar,3,3,139553.4,5.815493887234799e-06,0.996028315923201,C
pouch drools kitten oceanfish 100grm,Pouch Drools Kitten Oceanfish 100grm,2,2,139460.8,5.811635043709969e-06,0.9960341275582447,C
maxtreat 9202,Maxtreat 9202,2,2,138600.0,5.775763634356047e-06,0.9960399033218791,C
armod cable 10 sqmm x 4 core all,Armod Cable - 10 Sqmm X 4 Core - ALL.,2,2,138500.0,5.771596416726641e-06,0.9960456749182958,C
m2 premix,M2 - Premix,7,6,138450.0,5.7695128079119385e-06,0.9960514444311037,C
53 mm screw cap,53 mm Screw Cap,5,5,138243.0,5.760886667419069e-06,0.9960572053177711,C
charges for n situ balancing and laser,Charges for N-Situ Balancing and Laser,1,1,137750.0,5.7403422845061e-06,0.9960629456600556,C
curd jar 5ltr with handle caps,Curd Jar 5Ltr with Handle & Caps,1,1,137027.52,5.71023497057717e-06,0.9960686558950261,C
ms plate 25 mm,MS Plate 25 mm,1,1,136950.0,5.707004543470856e-06,0.9960743628995696,C
led bulb 15w pin type,LED Bulb 15W(Pin type),3,2,136800.0,5.700753717026748e-06,0.9960800636532866,C
fuse terminal block with led indication,Fuse Terminal Block with LED Indication,6,3,136323.0,5.680876088934483e-06,0.9960857445293756,C
ups 1 1 kva,UPS 1.1 KVA,18,16,136261.02,5.678293247447777e-06,0.9960914228226231,C
mcb switch 10 amp 2 pole,Mcb Switch - 10 Amp 2 Pole,2,2,136050.0,5.669499584806206e-06,0.9960970923222079,C
neelicol chocolate brown k1,Neelicol Chocolate Brown K1,2,2,136000.0,5.667415975991503e-06,0.9961027597381839,C
spunj sheet 4,"Spunj Sheet 4""",4,4,135600.0,5.650747105473881e-06,0.9961084104852893,C
ups battery 65ah 12v,UPS Battery 65AH 12V,2,2,135468.92,5.645284716605257e-06,0.9961140557700059,C
geared motor 3 hp 200 rpm,Geared Motor 3 Hp - 200 Rpm,2,2,135071.18,5.628710025206059e-06,0.9961196844800311,C
ib ma 5 vacc,IB MA - 5 Vacc.,3,3,135007.2,5.626043839366766e-06,0.9961253105238704,C
rent tipper,Rent tipper,1,1,135000.0,5.625743799697448e-06,0.9961309362676701,C
rent dumper,Rent Dumper,1,1,135000.0,5.625743799697448e-06,0.9961365620114698,C
hot water genrator the with steam contro,Hot Water Genrator THE With Steam Contro,1,1,135000.0,5.625743799697448e-06,0.9961421877552695,C
rent damper,Rent Damper,1,1,135000.0,5.625743799697448e-06,0.9961478134990692,C
purepet cat adult tuna salmon 7 kg,Purepet Cat Adult Tuna& Salmon 7 kg,1,1,134568.0,5.607741419538417e-06,0.9961534212404888,C
elisa kit for mg biochek,Elisa Kit for MG (Biochek),2,2,134466.0,5.603490857556423e-06,0.9961590247313463,C
elisa kit for ms biochek,Elisa Kit for MS (Biochek),2,2,134466.0,5.603490857556423e-06,0.9961646282222039,C
safety shoes 8 no,Safety Shoes 8 No,9,9,134160.0,5.590739171610442e-06,0.9961702189613755,C
tablet bottle 130 ml with cap,Tablet Bottle 130 ml with cap,1,1,134100.0,5.588238841032799e-06,0.9961758072002165,C
1x28 w tl lctln 20 cdl,1X28 W TL LCTLN-20-CDL,1,1,134100.0,5.588238841032799e-06,0.9961813954390575,C
drum precleaner sieve 1045x895x2mm thick,DRUM PRECLEANER SIEVE 1045x895x2mm thick,1,1,134000.0,5.584071623403393e-06,0.9961869795106809,C
n zuron,N Zuron,1,1,133620.0,5.568236196411652e-06,0.9961925477468774,C
ceiling fan set,Ceiling Fan Set,12,12,133482.13999999998,5.562491270187753e-06,0.9961981102381475,C
ms welding rod 3 15 x 3 50 10 no,Ms Welding Rod 3.15 X 3.50 (10 No.),5,5,133312.5,5.55542200220123e-06,0.9962036656601497,C
ele wire 75 sqmm,Ele. Wire .75 Sqmm,4,2,133239.0,5.552359097243617e-06,0.996209218019247,C
shrink films for 2000ml jarry can,Shrink Films for 2000ml Jarry Can,4,4,132300.0,5.513228923703499e-06,0.9962147312481707,C
avilyte,AVILYTE,2,2,132000.0,5.5007272708152825e-06,0.9962202319754415,C
civil work shed no 12,Civil work Shed no. 12,1,1,132000.0,5.5007272708152825e-06,0.9962257327027123,C
intacef,Intacef,4,4,131967.6,5.499377092303355e-06,0.9962312320798046,C
n o contact,N O Contact,1,1,131600.0,5.4840584002976605e-06,0.9962367161382049,C
chicken boneless,Chicken Boneless,81,81,131326.39,5.472656476141845e-06,0.996242188794681,C
dell pc dc 4gb 500gb hdd w o monitor,Dell PC (DC/4GB/500GB HDD) W/O Monitor,1,1,130932.18,5.456228887524965e-06,0.9962476450235684,C
purepet cat adult mackerel 7 kg,Purepet Cat Adult mackerel 7 kg,1,1,130704.0,5.446720130338187e-06,0.9962530917436988,C
sew gear box unit type r 27 rs 112 m4,"SEW GEAR BOX UNIT,TYPE R-27 RS-112 M4",1,1,130624.0,5.443386356234663e-06,0.996258535130055,C
gi square pipe 3 4 x 3 4,"GI Square Pipe 3/4"" X 3/4""",2,2,130502.86,5.438338188798401e-06,0.9962639734682438,C
lime,Lime,1,1,130410.5,5.434489346595882e-06,0.9962694079575904,C
bag 100 veg puppy 6 5 kg,Bag 100% Veg Puppy 6.5 kg,1,1,130113.0,5.4220918741484e-06,0.9962748300494646,C
ele shielded wire 0 75 sqmm x 3 core,Ele. Shielded Wire 0.75 Sqmm X 3 Core,1,1,130000.0,5.417382918227173e-06,0.9962802474323829,C
rubber mat checkerd,Rubber Mat Checkerd,5,5,129540.0,5.398213717131907e-06,0.9962856456461,C
master clone vacc,MASTER CLONE VACC.,7,7,129500.0,5.396546830080145e-06,0.9962910421929301,C
safegard,Safegard,11,11,129470.0,5.395296664791323e-06,0.9962964374895948,C
electrical work for 11 kv ht line,Electrical Work for 11 KV HT Line,3,3,129000.0,5.375710741933117e-06,0.9963018132003367,C
feed water tank,Feed water tank,1,1,128700.0,5.3632090890449e-06,0.9963071764094258,C
bmm hp101 94577088,BMM (HP101) (94577088),1,1,128400.0,5.350707436156684e-06,0.9963125271168619,C
bearing skf 22218ek,Bearing Skf 22218Ek,2,2,128394.0,5.3504574030989195e-06,0.996317877574265,C
finadyane inj 100 ml,FINADYANE INJ. 100 ML,2,2,128262.4,5.344973344698622e-06,0.9963232225476097,C
pouch drools kitten ocean fish 400gm,Pouch Drools Kitten Ocean fish 400gm,2,2,128068.0,5.336872273627058e-06,0.9963285594198834,C
ms square pipe 1 x1 3 2mm 1 98 kg mt,"MS Square Pipe 1""X1"" , 3.2mm, 1.98 kg/mt",7,7,127658.65999999999,5.319814184982849e-06,0.9963338792340684,C
jcb rent,JCB Rent,1,1,127500.3,5.313214979144923e-06,0.9963391924490475,C
pouch lets bite lab puppy 12 kg,Pouch Lets Bite Lab Puppy 12 kg,1,1,127152.08,5.298703893915807e-06,0.9963444911529413,C
tmt steel fe 500,"TMT Steel : Fe:500,",1,1,127117.48,5.297262036616033e-06,0.9963497884149779,C
roto ring c pin,Roto Ring (C Pin),5,2,126882.8,5.287482410283344e-06,0.9963550758973881,C
polithin 13x16 chicken,Polithin (13X16) Chicken,3,3,126250.0,5.261112257124466e-06,0.9963603370096452,C
ms pipe 10 b class 5 0 mm 35 6 kg mt,"MS Pipe 10"" B Class 5.0 mm, 35.6 kg / mt",2,2,125742.6,5.239967794872862e-06,0.9963655769774401,C
pouch box 500 ml x 20 pouch,Pouch Box 500 ml X 20 Pouch,3,3,125395.2,5.225490880828307e-06,0.9963708024683209,C
neodox forte,NEODOX FORTE,1,1,125000.0,5.209022036756896e-06,0.9963760114903576,C
cockrel doc,Cockrel DOC,1,1,125000.0,5.209022036756896e-06,0.9963812205123943,C
polithin 8x10 chicken,Polithin (8X10) Chicken,2,2,125000.0,5.209022036756896e-06,0.996386429534431,C
nd vh 1000 dose,ND VH 1000 Dose,7,7,125000.0,5.209022036756896e-06,0.9963916385564677,C
v belt d 248,V Belt - D 248,2,2,124872.0,5.203687998191257e-06,0.9963968422444659,C
1x100w sq light lfln11 110 cdl 60,1X100W SQ. LIGHT LFLN11-110-CDL/60,1,1,124800.0,5.200687601498085e-06,0.9964020429320674,C
armod cable 1 5 sqmm x 4 core cu,Armod Cable -1.5  Sqmm x 4 Core CU.,1,1,124740.0,5.198187270920442e-06,0.9964072411193383,C
macconkey agar,MacConkey Agar,1,1,124560.0,5.190686279187512e-06,0.9964124318056174,C
cst conector 10 amp,Cst Conector 10 Amp,2,2,123360.0,5.140679667634646e-06,0.9964175724852851,C
galvalume color profiles sheet,Galvalume Color Profiles Sheet,1,1,123000.0,5.125677684168786e-06,0.9964226981629692,C
chest freezer htd 205 soft look,Chest Freezer HTD 205 Soft Look,1,1,122500.0,5.104841596021759e-06,0.9964278030045652,C
view sonic m1,View Sonic M1,1,1,122400.0,5.1006743783923534e-06,0.9964329036789437,C
ai funnel,Ai Funnel,1,1,122010.0,5.084422229637672e-06,0.9964379881011733,C
jcb rent,JCB RENT,1,1,121833.19,5.07705417214712e-06,0.9964430651553455,C
bag sealing tie 250mm cable tie,Bag Sealing Tie - 250mm (Cable Tie),4,4,121800.0,5.07567107261592e-06,0.9964481408264182,C
pouch purepet kitten 1 2kg,Pouch Purepet Kitten 1.2kg,2,2,121744.4,5.07335409961397e-06,0.9964532141805178,C
asset management application,Asset Management Application,1,1,121065.25,5.045052441083863e-06,0.9964582592329588,C
hub shaft support 31959 103,Hub Shaft Support  - 31959-103,1,1,121050.0,5.0444169403953784e-06,0.9964633036498992,C
apple macbook pro 130 touch bar,Apple MacBook PRO 130 Touch BAR,1,1,121016.94,5.043039258247097e-06,0.9964683466891575,C
aluminium door with frame,Aluminium door with frame,7,6,120649.64,5.0277330678942905e-06,0.9964733744222254,C
repair main work from speed s 8589,Repair & Main Work From Speed S 8589,3,2,120292.01,5.012829847486248e-06,0.9964783872520728,C
shampoo sticker black 250 ml,Shampoo Sticker Black 250 ML,3,3,120000.0,5.000661155286621e-06,0.9964833879132281,C
shampoo sticker red 250 ml,Shampoo Sticker Red 250 ML,3,3,120000.0,5.000661155286621e-06,0.9964883885743834,C
filter cloth 1 x 0 83 mtr butterfly t,FILTER CLOTH- 1 X 0.83 MTR (BUTTERFLY T),1,1,120000.0,5.000661155286621e-06,0.9964933892355387,C
shampoo sticker green 250 ml,Shampoo Sticker Green 250 ML,3,3,120000.0,5.000661155286621e-06,0.9964983898966939,C
animunin liq,Animunin LIQ.,5,5,119280.0,4.970657188354901e-06,0.9965033605538823,C
apfc panel 60 kvar,APFC Panel - 60 KVAR,1,1,118968.0,4.957655469351155e-06,0.9965083182093517,C
gi square pipe 1 5 x1 5 x2 0mm x6 0 mtr,"GI Square Pipe 1.5""x1.5""x2.0MM x6.0 Mtr.",2,2,118649.84,4.944397049741439e-06,0.9965132626064015,C
pure pet 3ply corrugated box 500gmx12jar,Pure Pet 3Ply Corrugated Box-500gmx12Jar,4,4,118532.8,4.939519738227983e-06,0.9965182021261397,C
steam heat exchanger,Steam Heat Exchanger,1,1,118142.0,4.923234251732266e-06,0.9965231253603914,C
computer cpu,COMPUTER CPU,1,1,117796.6,4.9088406820403e-06,0.9965280342010735,C
amc for lto tape library serial no,AMC for LTO Tape Library (Serial No:,1,1,117753.0,4.907023775153879e-06,0.9965329412248487,C
enrocin,Enrocin,2,2,117660.0,4.903148262758531e-06,0.9965378443731114,C
bearing ring for pump type cr32 14,Bearing Ring for Pump Type CR32-14,1,1,117600.0,4.900647932180888e-06,0.9965427450210436,C
ms plate 4 mm,Ms Plate 4 Mm,1,1,117436.0,4.8938136952686635e-06,0.9965476388347388,C
cooling pads 40 45 degree 2000x600x150,Cooling Pads - 40*45 Degree 2000x600x150,5,5,117158.4,4.882245499129433e-06,0.996552521080238,C
crdnil,CRDnil,9,9,117000.0,4.875644626404455e-06,0.9965573967248643,C
stall participation in feed tech expo,Stall Participation in Feed Tech Expo,1,1,117000.0,4.875644626404455e-06,0.9965622723694907,C
purepet cat adult sea food 7 kg,Purepet Cat Adult sea food 7 kg,2,2,116524.8,4.855842008229521e-06,0.996567128211499,C
ms pipe 12 10 3 mm 79 71 kg mtr,"MS Pipe 12"" 10.3 mm, 79.71 kg / mtr",1,1,115918.27,4.830566583141887e-06,0.9965719587780821,C
ge bbl door female 7 5 x18,"Ge Bbl Door Female 7.5""X18""",1,1,115304.8,4.805001953150773e-06,0.9965767637800352,C
ge bbl door female 9 5 x18,"Ge Bbl Door Female 9.5""X18""",1,1,115304.6,4.804993618715514e-06,0.996581568773654,C
insulation work 100 density al sheet 2,"Insulation work, 100 Density, Al sheet 2",1,1,115200.0,4.800634709075156e-06,0.9965863694083631,C
pid control panel,PID Control Panel,1,1,115000.0,4.792300273816344e-06,0.9965911617086369,C
poster drools,Poster Drools,3,3,114760.0,4.782298951505772e-06,0.9965959440075884,C
armod cable 4 sqmm x 4 core cu,Armod Cable - 4 Sqmm X 4 Core - Cu,1,1,114650.0,4.777715012113425e-06,0.9966007217226005,C
rice,Rice,9,9,114200.0,4.7589625327811005e-06,0.9966054806851333,C
mcb switch 10 amp 3 pole,Mcb Switch -10 Amp- 3 Pole,2,2,114100.0,4.754795315151695e-06,0.9966102354804485,C
vitamin k3,Vitamin K3,2,2,113875.0,4.745419075485533e-06,0.9966149808995239,C
visi cooler,Visi Cooler,1,1,113559.32,4.732264002873026e-06,0.9966197131635268,C
civil work bottom washbin,Civil Work Bottom Washbin,1,1,113453.38,4.727849252516434e-06,0.9966244410127794,C
flue gas ducting,Flue Gas Ducting,3,1,113256.0,4.719623998359513e-06,0.9966291606367778,C
ss sheet 2 mm,SS Sheet - 2 mm,1,1,113215.5,4.717936275219603e-06,0.996633878573053,C
civil work dead pit,Civil work dead pit,1,1,113161.99,4.715706397066109e-06,0.99663859427945,C
freight charges,Freight charges,1,1,113000.0,4.7089559212282345e-06,0.9966433032353712,C
bearing 6002 2rs,Bearing 6002 2Rs,6,6,112200.0,4.675618180192991e-06,0.9966479788535514,C
elisa kit for ibv,Elisa Kit for IBV,2,2,111780.0,4.658115866149487e-06,0.9966526369694175,C
engine oil 40 no,Engine Oil 40 No,2,2,111720.0,4.655615535571844e-06,0.9966572925849531,C
load cell 0782 30t 13m 71201709,Load cell 0782 30T 13M  (71201709),1,1,111400.0,4.642280439157746e-06,0.9966619348653922,C
pouch 100 veg puppy 3 kg,pouch 100% Veg Puppy 3 kg,2,2,111339.36,4.639753438387274e-06,0.9966665746188306,C
purepet cat adult 100 gm,Purepet Cat Adult  100 Gm,3,3,111284.44,4.637464802465205e-06,0.9966712120836331,C
accidental repair work shivnath a ab5948,Accidental Repair Work Shivnath A.AB5948,2,1,111195.78,4.633770147314974e-06,0.9966758458537804,C
display card,Display Card,1,1,111000.0,4.625611568640124e-06,0.9966804714653491,C
load cell 0782 20t 13m 71201708,Load cell 0782 20T 13M  (71201708),1,1,111000.0,4.625611568640124e-06,0.9966850970769178,C
canine creek cartoon 4 kg x 4,CANINE CREEK CARTOON 4 KG x 4,3,3,110527.55,4.605923548949998e-06,0.9966897030004667,C
cable tray ladder type 24,"Cable Tray Ladder Type 24""",1,1,110000.0,4.583939392346069e-06,0.9966942869398591,C
logger pri 3rd party 32 channel,Logger PRI - 3RD Party (32 Channel),1,1,110000.0,4.583939392346069e-06,0.9966988708792515,C
stall design pune feed tech expo,Stall Design Pune Feed Tech Expo,1,1,110000.0,4.583939392346069e-06,0.9967034548186439,C
freight charges for wall sheet,Freight Charges for Wall sheet,1,1,110000.0,4.583939392346069e-06,0.9967080387580363,C
curtain strip mtr,Curtain Strip (Mtr.),2,2,109200.0,4.550601651310825e-06,0.9967125893596875,C
p d pump hwp 44,P.D PUMP HWP-44,1,1,109120.0,4.5472678772073e-06,0.9967171366275648,C
30t pdx cell and boot 42904883 mtms,30T PDX Cell and boot-(42904883-MTMS),1,1,108500.0,4.5214311279049865e-06,0.9967216580586927,C
ms tmt 32 mm,Ms Tmt 32 Mm,1,1,108350.0,4.515180301460878e-06,0.9967261732389942,C
diprosin plus a,Diprosin Plus A,4,4,108000.0,4.500595039757958e-06,0.9967306738340339,C
pouch lets bite lab adult 12 kg,Pouch Lets Bite Lab Adult 12 kg,1,1,107986.05,4.500013712898657e-06,0.9967351738477468,C
pani pipe 1,"Pani Pipe 1""",6,6,107880.68,4.495622715682552e-06,0.9967396694704624,C
hydrolic oil 68,Hydrolic Oil 68,3,3,107396.1,4.475429212493979e-06,0.9967441448996749,C
composite can for skin coat 300ml,Composite Can for Skin & Coat 300ml,1,1,107250.0,4.469340907537417e-06,0.9967486142405825,C
aux contact with 2no 2nc 3rh2122 1ap00,Aux Contact with 2NO+2NC - 3RH2122-1AP00,3,3,107180.0,4.4664238551968335e-06,0.9967530806644377,C
brick work for 115mm width,Brick Work : for 115mm width,1,1,107100.0,4.463090081093309e-06,0.9967575437545187,C
oxygen cylinder,Oxygen Cylinder,29,24,107008.0,4.459256240874256e-06,0.9967620030107597,C
welding cable 50 sqmm,Welding Cable 50 Sqmm,2,1,107000.0,4.458922863463903e-06,0.9967664619336232,C
door rod 5x2773mm b0059,Door Rod 5x2773mm - B0059,1,1,106748.1,4.448425642255431e-06,0.9967709103592655,C
felt packing,Felt Packing,3,3,106592.0,4.441920615535929e-06,0.996775352279881,C
armod cable 70 sqmm x 3 5 core all,Armod Cable - 70 Sqmm X 3.5 Core - All.,1,1,106395.0,4.433711196806e-06,0.9967797859910779,C
tcs 1 tata lpk 1615 36 bs iv,"TCS @1% Tata LPK 1615/36, BS-IV",1,1,106250.0,4.427668731243362e-06,0.9967842136598091,C
pouch cat ocean fish 3kg,Pouch CAT Ocean Fish 3kg,1,1,106092.36,4.421099529372367e-06,0.9967886347593384,C
lets bite cat clumping litter 06 kg,Lets Bite Cat Clumping Litter 06 kg,1,1,106090.0,4.421001183036313e-06,0.9967930557605215,C
pilling work,Pilling Work :,2,2,105410.0,4.392664103156356e-06,0.9967974484246246,C
kala polithin,Kala Polithin,3,3,105084.0,4.379078973684494e-06,0.9968018275035982,C
hydrolic oil 68 no,Hydrolic Oil 68 No,2,2,105000.0,4.375578510875793e-06,0.9968062030821091,C
wr24m9960 washing machine,WR24M9960 (Washing machine),1,1,104661.0,4.361451643112109e-06,0.9968105645337522,C
paint silver,Paint Silver,13,13,104595.0,4.3587012794767e-06,0.9968149232350316,C
armod cable 25sqmm x 3 5 core all,Armod Cable 25Sqmm X 3.5 Core -All.,2,2,104500.0,4.354742422728766e-06,0.9968192779774544,C
r2b vaccine,R2B Vaccine,7,7,104400.0,4.3505752050993596e-06,0.9968236285526595,C
bracket hanger pvc,Bracket Hanger (PVC),2,2,104188.6,4.341765707030797e-06,0.9968279703183666,C
car washer double cylinder brand everest,"Car Washer Double Cylinder Brand""Everest",1,1,104000.0,4.333906334581738e-06,0.9968323042247011,C
double sided polyster tape 91088,Double Sided Polyster Tape 91088,1,1,104000.0,4.333906334581738e-06,0.9968366381310357,C
absolute calcium bone label,Absolute Calcium Bone label,4,4,103900.0,4.329739116952332e-06,0.9968409678701526,C
clear water 200ml,Clear Water 200Ml,6,6,103728.0,4.322571502629755e-06,0.9968452904416553,C
cup 80ml 080040h,Cup 80ml (080040H),1,1,103000.0,4.292234158287683e-06,0.9968495826758136,C
v groove swivel caster steel pb3157,V groove swivel caster steel ( PB3157),3,3,102050.0,4.2526455908083305e-06,0.9968538353214044,C
rockwool 64 75 den thk 1000x500mm,Rockwool 64/75 Den/Thk 1000X500MM,1,1,102000.0,4.250561981993628e-06,0.9968580858833863,C
ammonia test kit,Ammonia Test Kit,1,1,101910.0,4.246811486127163e-06,0.9968623326948725,C
flood light 90 w,Flood Light - 90 W,1,1,101820.0,4.2430609902606975e-06,0.9968665757558627,C
flooring work at damri shed no 2,Flooring work at Damri shed No.2,1,1,101604.0,4.234059800181182e-06,0.9968708098156629,C
nec ip epabx system sl 2100,NEC IP EPABX System SL 2100,1,1,101200.0,4.217224240958384e-06,0.9968750270399038,C
ld polithin 12 x15,Ld Polithin 12'X15',2,2,100772.5,4.1994093855926745e-06,0.9968792264492894,C
maxtreat 3006,MAXTREAT 3006,6,6,100485.0,4.187428634908134e-06,0.9968834138779243,C
elisa kit for cav,Elisa Kit for CAV,2,2,100464.0,4.186553519205959e-06,0.9968876004314435,C
fancing wire,Fancing Wire,2,2,100423.72,4.184874963944834e-06,0.9968917853064074,C
pouch lets bite puppy 1 2 kg,Pouch Lets Bite puppy 1.2 kg,4,4,100405.8,4.1841281985456445e-06,0.996895969434606,C
mcb 63 amp 3 pole schneider,MCB 63 Amp 3 Pole (Schneider),1,1,100170.0,4.174301899375507e-06,0.9969001437365054,C
die holding ring rear 660 228,Die Holding Ring - Rear (660.228),1,1,100000.0,4.167217629405517e-06,0.9969043109541348,C
consulting services of structural design,Consulting Services of structural design,2,2,100000.0,4.167217629405517e-06,0.9969084781717642,C
pouchpurepet chicken vagetable puppy 3kg,PouchPurepet Chicken&Vagetable Puppy 3Kg,1,1,99689.94,4.1542967544237825e-06,0.9969126324685186,C
upvc pipe 2,"Upvc Pipe 2 """,1,1,99394.5,4.141985126659467e-06,0.9969167744536452,C
piston valve 300 150 nb,Piston Valve # 300-150 NB,1,1,99150.0,4.13179627955557e-06,0.9969209062499248,C
geared motor 5 hp 280 rpm,Geared Motor 5 Hp - 280 Rpm,2,2,99051.62,4.127696570851761e-06,0.9969250339464957,C
composite can for vitamins 300ml,Composite Can for Vitamins 300ml,1,1,99000.0,4.125545453111462e-06,0.9969291594919488,C
dg rent 30 k v,DG Rent 30 K.V,3,3,99000.0,4.125545453111462e-06,0.996933285037402,C
nec digital ip epabx system sl 1000,NEC Digital IP EPABX System SL 1000,1,1,99000.0,4.125545453111462e-06,0.9969374105828551,C
composite can for calcium 300ml,Composite Can for Calcium 300ml,1,1,99000.0,4.125545453111462e-06,0.9969415361283083,C
label for 1000 ml bottle,Label For 1000 Ml Bottle,3,3,98898.5,4.121315727217615e-06,0.9969456574440355,C
safety shoes 6 no,Safety Shoes 6 No,9,9,98750.0,4.115127409037948e-06,0.9969497725714446,C
assembly foam with piston,Assembly foam with piston,2,2,98700.0,4.113043800223246e-06,0.9969538856152448,C
elisa kit for reo biochek,Elisa Kit for REO (Biochek),2,2,98640.0,4.1105434696456025e-06,0.9969579961587144,C
ss pipe 6,"SS PIPE - 6""",1,1,98500.0,4.104709364964435e-06,0.9969621008680793,C
fd dvs yf 3331 50u,FD DVS YF 3331 (50U),2,2,98100.0,4.088040494446813e-06,0.9969661889085738,C
bottle box 1000 ml,Bottle Box 1000 Ml,2,2,97800.0,4.075538841558596e-06,0.9969702644474153,C
pouchpurepet chicken vagetable adult 3kg,PouchPurepet Chicken&Vagetable Adult 3Kg,1,1,97592.04,4.066872695776484e-06,0.9969743313201112,C
empty panal box 2300 x 1200 x 600 mm,EMPTY PANAL BOX- 2300 X 1200 X 600 MM,3,3,97500.0,4.06303718867038e-06,0.9969783943572998,C
tyre 7x50x16 rear,Tyre 7X50X16 Rear,2,2,97462.08,4.061456979745308e-06,0.9969824558142796,C
bearing grease ep 2,Bearing  Grease - Ep 2,1,1,97200.0,4.050535535782162e-06,0.9969865063498153,C
ups 6 kva,UPS 6 KVA,2,2,96750.0,4.031783056449838e-06,0.9969905381328718,C
focus 5ply corrugated box 1 2kgx6pkt,Focus 5ply Corrugated Box - 1.2kgx6pkt,5,5,96684.7,4.029061863337836e-06,0.9969945671947351,C
refrigerator 697 ltr,Refrigerator 697 Ltr,1,1,96610.16,4.025955619316878e-06,0.9969985931503544,C
v belt a 88,V Belt A-88,1,1,96000.0,4.0005289242292964e-06,0.9970025936792787,C
temprature sensor,Temprature Sensor,5,3,96000.0,4.0005289242292964e-06,0.9970065942082029,C
hammer mill screen dia 5mm 396x700mm,"Hammer Mill Screen Dia-5mm, (396x700mm)",1,1,96000.0,4.0005289242292964e-06,0.9970105947371272,C
ele shielded wire 0 75 sqmm x 6 core,Ele. Shielded Wire 0.75 Sqmm X 6 Core,2,2,95800.0,3.9921944889704854e-06,0.9970145869316162,C
sentring tar,Sentring Tar,4,4,95762.72,3.990640950238243e-06,0.9970185775725664,C
tyre 8x25x20 sml front,Tyre 8X25X20  Sml(Front),2,2,95398.95999999999,3.9754822793895175e-06,0.9970225530548458,C
jar box 15 ltr,Jar Box - 15 Ltr,2,2,95280.0,3.970524957297577e-06,0.997026523579803,C
gysum false ceiling,Gysum False Ceiling,1,1,95225.0,3.9682329876014034e-06,0.9970304918127907,C
sulphomic acid,Sulphomic Acid,2,2,95000.0,3.9588567479352415e-06,0.9970344506695387,C
pouch roll 200ml kg,POUCH ROLL 200ML_KG,1,1,94750.0,3.948438703861728e-06,0.9970383991082425,C
pouch meat up 3 kg puppy,Pouch Meat Up 3 Kg Puppy,1,1,94258.08,3.927939326899156e-06,0.9970423270475695,C
ms pipe 1 25 b class 3 2 mm 3 1 kg m,"MS Pipe 1.25"" B Class 3.2 mm, 3.1 kg / m",1,1,93960.0,3.915517684589424e-06,0.9970462425652541,C
column pipe 2,"Column Pipe 2""",6,5,93600.0,3.900515701123564e-06,0.9970501430809552,C
cable tie 410x7 0mm metal lock,Cable tie 410x7.0mm Metal Lock,1,1,93600.0,3.900515701123564e-06,0.9970540435966563,C
laptop bag,Laptop Bag,2,2,93178.0,3.882930042727473e-06,0.997057926526699,C
coolent,Coolent,2,2,93168.6,3.882538324270309e-06,0.9970618090650233,C
elisa kit for ibd biocheck,Elisa Kit For IBD Biocheck,3,3,93150.0,3.881763221791239e-06,0.997065690828245,C
bearing no skf 22222 ek,Bearing No Skf- 22222 Ek,1,1,93136.0,3.881179811323123e-06,0.9970695720080563,C
pouch purepet puppy 3 kg,Pouch Purepet Puppy 3 kg,1,1,93135.42,3.881155641460872e-06,0.9970734531636978,C
ms angle 25x25x3 1 10 kg mtr,"MS Angle 25X25X3, 1.10 kg / mtr",7,7,93024.64,3.876539197771017e-06,0.9970773297028955,C
welding machine 3 phase 400 600a 440v,Welding Machine - 3 Phase 400-600A 440V,3,3,92800.0,3.86717796008832e-06,0.9970811968808556,C
mtrb 81013 820 sieve wood 100 200,MTRB-81013-820 - sieve wood 100/200,1,1,92562.0,3.857259982130335e-06,0.9970850541408377,C
pouch meat up 1 2 kg adult,Pouch Meat Up 1.2 Kg Adult,1,1,92511.72,3.85516470510627e-06,0.9970889093055428,C
ci die plate od 900x181x55 hole 6 8,"Ci Die Plate OD: 900X181X55, Hole: 6/8",1,1,92500.0,3.854676307200103e-06,0.99709276398185,C
whytheat k acc 50 kg0,Whytheat - K (ACC) (50 kg0,2,2,92500.0,3.854676307200103e-06,0.9970966186581571,C
liv 52 protch pfs,Liv-52 Protch PFs,2,2,92188.0,3.841674588196358e-06,0.9971004603327454,C
wooden partition works,Wooden Partition Works,1,1,92160.0,3.8405077672601245e-06,0.9971043008405126,C
bearing nu 2226 ecp,Bearing - NU 2226 ECP,1,1,92042.0,3.835590450457426e-06,0.9971081364309631,C
portable autoclave 7407st 16lit medica,Portable Autoclave 7407ST 16LIT Medica,2,2,92000.0,3.833840219053076e-06,0.9971119702711821,C
metricef,Metricef,1,1,91980.0,3.833006775527195e-06,0.9971158032779577,C
pp bag broiler pre starter crumbs 50kg,PP Bag Broiler Pre-Starter Crumbs (50Kg),1,1,91350.0,3.80675330446194e-06,0.9971196100312621,C
pouch vetpro adult 3kg,Pouch Vetpro Adult 3kg,1,1,91309.68,3.8050730823137632e-06,0.9971234151043444,C
